name,score
MTV Sports: Pure Ride,Okay
B-17 Flying Fortress: The Mighty 8th!,Great
NBA Live 2001,Good
Fighting Vipers 2,Okay
Metropolis Street Racer,Amazing
Riddle of the Sphinx: An Egyptian Adventure,Mediocre
Speed Devils Online Racing,Good
Evil Dead: Hail to the King,Awful
Anne McCaffrey's Freedom: First Resistance,Bad
Last Blade 2: Final Edition,Great
Little Nicky,Great
Star Wars: Battle for Naboo,Amazing
Maximum Pool,Good
Ski Resort Tycoon,Good
Indiana Jones and the Infernal Machine,Great
Donald Duck: Goin' Quackers,Okay
Michelin Rally Masters Race of Champions,Mediocre
SnoCross Championship Racing,Awful
Playmobil: Laura,Good
Ultimate Fighting Championship,Awful
Sheep,Good
Virtual Pool 3 Featuring Jeanette Lee,Great
EverQuest: The Scars of Velious,Great
The Grinch,Mediocre
Animorphs: Shattered Reality,Awful
Dirt Track Racing: Sprint Cars,Good
Lemmings,Mediocre
Q*bert,Good
Jimmy White's 2: Cueball,Painful
The Broken Land,Awful
Kingdom Under Fire: A War of Heroes,Good
Backstage Pass: The Ultimate Rock & Roll Trivia Game,Good
Space Empires IV,Amazing
Ground Control: Dark Conspiracy,Great
Bangai-O,Amazing
Warriors of Might and Magic,Mediocre
Dexter's Laboratory: Robot Rampage,Good
Motocross Mania,Great
M&M's Mini Madness,Bad
Star Trek: Starfleet Command Volume II: Empires at War,Great
F1 Championship Season 2000,Amazing
Project IGI: I'm Going In,Good
Aqua Aqua,Good
No Escape,Okay
Woody Woodpecker Racing,Great
Batman Beyond: Return of the Joker,Painful
102 Dalmatians: Puppies to the Rescue,Okay
POD: Speedzone,Okay
Dinosaur,Mediocre
HBO Boxing,Awful
Extreme Sports with The Berenstain Bears,Bad
Pokemon Puzzle Challenge,Amazing
F-1 World Grand Prix II,Good
Max Steel: Covert Missions,Awful
Tom Clancy's Rainbow Six: Rogue Spear,Good
Godzilla: The Series: Monster Wars,Mediocre
Odyssey: The Search for Ulysses,Mediocre
Chicken Run,Good
Tweety's High-Flying Adventure,Great
The Emperor's New Groove,Mediocre
Dragon's Lair,Great
PBA Tour Bowling 2001,Mediocre
Quake III: Team Arena,Good
World Destruction League: Thunder Tanks,Great
Kengo: Master of Bushido,Okay
Star Wars: Episode I: Obi-Wan's Adventures,Mediocre
Tomb Raider Chronicles,Okay
You Don't Know Jack: 5th Dementia,Great
NBA Jam 2001,Awful
Dino Crisis,Okay
Robopon: Sun Version,Good
The King of Fighters '99: Evolution,Great
Razor Freestyle Scooter,Bad
Championship Surfer,Awful
The Chessmaster 8000,Great
Torneko: The Last Hope,Okay
Walt Disney World Magical Racing Tour,Bad
Super Bust-A-Move,Good
Tiger Woods PGA Tour 2001,Good
The Grinch,Mediocre
Road Rash,Mediocre
Tomb Raider Chronicles,Okay
Harley-Davidson: Wheels of Freedom,Mediocre
Seven Games of the Soul,Awful
3D Roller Coaster Designer,Awful
Project S-11,Great
X-Plane,Great
Samba de Amigo Ver. 2000,Amazing
Guilty Gear X,Great
Suzuki Alstare Extreme Racing,Mediocre
The Dukes of Hazzard II: Daisy Dukes It Out,Bad
Persona 2: Eternal Punishment,Great
Colin McRae Rally 2.0,Amazing
Arabian Nights: Prince of Persia,Good
Moto Racer World Tour,Great
WCW Backstage Assault,Bad
Jagged Alliance 2: Unfinished Business,Great
The Mummy,Mediocre
Tiger Woods PGA Tour 2001,Good
Ducati World Racing Challenge,Mediocre
Blade of Darkness,Great
Stupid Invaders,Good
Macross M3,Bad
Crime Cities,Great
NBA Live 2001,Great
Star Wars Starfighter,Amazing
Fear Effect 2: Retro Helix,Okay
Cannon Fodder,Amazing
NBA Hoopz,Good
Action Man,Okay
Clive Barker's Undying,Amazing
Mary-Kate and Ashley Pocket Planner,Good
Rowan's Battle of Britain,Good
Airline Tycoon,Good
Mayday: Conflict Earth,Bad
Legend of the North: Konung,Bad
Giga Wing 2,Mediocre
Iron Aces,Good
Kao the Kangaroo,Okay
Looney Tunes: Marvin Strikes Back!,Great
Darkstone,Okay
World Destruction League Thunder Tanks,Bad
Final Fantasy,Great
Woody Woodpecker Racing,Bad
SEGA Smash Pack Volume 1,Great
Age of Sail II,Good
Search & Rescue 2,Good
Knockout Kings 2001,Great
Ducati World Racing Challenge,Okay
Remnant,Awful
Driving Emotion Type-S,Good
Charge'n Blast,Good
The Outforce,Okay
Power Spike Pro Beach Volleyball,Okay
SimCoaster,Great
The Lion King: Simba's Mighty Adventure,Bad
Warriors of Might and Magic,Awful
Looney Tunes Racing,Mediocre
The Little Mermaid II,Good
Championship Motocross 2001 Featuring Ricky Carmichael,Okay
Dave Mirra Freestyle BMX,Okay
Phantasy Star Online,Amazing
America,Bad
Oni,Good
ESPN NBA 2Night,Unbearable
Colin McRae Rally 2.0,Great
NHL FaceOff 2001,Okay
ATV Offroad Fury,Great
Army Men: Sarge's Heroes 2,Mediocre
Wacky Races,Okay
Paper Mario,Amazing
Rayman 2: Revolution,Great
Mega Man X5,Great
Gold and Glory: The Road to El Dorado,Bad
Mega Man 64,Bad
Carnivores: Ice Age,Mediocre
Steel Beasts,Great
Airfix Dogfighter,Great
Polaris SnoCross,Bad
RC Revenge Pro,Painful
The Next Tetris: On-Line Edition,Great
Croc 2,Great
3-D Ultra Pinball: Thrill Ride,Mediocre
Championship Rally,Okay
Oni,Good
Mario Tennis [2001],Amazing
Cyber Groove,Mediocre
Sudden Strike,Great
Sgt. Rock: On the Frontline,Okay
Mega Man Xtreme,Great
Hoyle Card Games,Good
The Typing of the Dead,Amazing
The Ward,Okay
Ring of Red,Great
Cabela's 4x4 Off-Road Adventure,Okay
NASCAR Racing 4,Amazing
The Messenger,Okay
Toy Story Racer,Great
Nanoloop,Amazing
Kao the Kangaroo,Mediocre
Thandor: The Invasion,Bad
Coaster Works,Great
NBA ShootOut 2001,Okay
The Bouncer,Good
ESPN NBA 2Night,Okay
Triple Play Baseball,Good
High Heat Major League Baseball 2002,Good
Shadow of Destiny,Great
Industry Giant,Awful
Army Men: World War Final Front,Bad
Ducati World Racing Challenge,Painful
Surf Rocket Racer,Good
Gold and Glory: The Road to El Dorado,Bad
Vanishing Point,Bad
Conker's Bad Fur Day,Amazing
Icewind Dale: Heart of Winter,Great
NBA Hoopz,Bad
Bugs Bunny & Taz: Time Busters,Okay
1nsane,Good
Army Men: Sarge's Heroes 2,Bad
Fallout Tactics: Brotherhood of Steel,Great
Black & White,Amazing
Pokemon Stadium 2,Good
Zone of the Enders,Good
Europa Universalis,Amazing
Warriors of Might and Magic,Mediocre
4x4 EVO,Mediocre
Army Men: Green Rogue,Bad
All-Star Baseball 2002,Great
Star Wars: Battle for Naboo,Good
Dark Cloud,Great
Crazy Taxi,Good
Crazy Taxi 2,Great
Red Faction,Amazing
The Moon Project,Good
Aladdin in Nasira's Revenge,Okay
Triple Play Baseball,Good
Record of Lodoss War,Great
Daytona USA,Amazing
Dracula: The Last Sanctuary,Good
Onimusha: Warlords,Great
Batman: Chaos in Gotham,Good
The Simpsons Wrestling,Unbearable
Smurf Racer,Mediocre
WinBack: Covert Operations,Good
Confidential Mission,Great
Mat Hoffman's Pro BMX,Good
The Legend of Zelda: Oracle of Ages,Masterpiece
The Legend of Zelda: Oracle of Seasons,Masterpiece
Star Trek: Voyager: Elite Force -- Expansion Pack,Okay
Robot Arena,Bad
Merchant Prince II,Good
The Adventures of Cookie & Cream,Good
Rumble Racing,Great
The Simpsons:  Night of the Living Treehouse of Horror,Okay
ESPN MLS Extra Time,Great
Army Men Air Combat,Good
Racin' Ratz,Great
Toy Story Racer,Good
Fire Pro Wrestling D,Great
Triple Play Baseball,Good
Unreal Tournament [1999],Amazing
Summoner,Good
Army Men: Air Attack 2,Good
Ford Racing,Bad
Strikers 1945 II,Good
Scooby-Doo: Classic Creep Capers,Good
ESPN National Hockey Night,Awful
Gauntlet: Dark Legacy,Okay
Myst III: Exile,Great
Tropico,Great
Digimon World 2,Bad
Project Justice,Great
Rune: Halls of Valhalla,Bad
MTV Sports: T.J. Lavin's Ultimate BMX,Bad
Mars Matrix,Great
Star Wars: Super Bombad Racing,Good
In Cold Blood,Good
Evil Islands: Curse of the Lost Soul,Great
Metal Walker,Great
Super Bowling,Okay
Illbleed,Okay
Spider-Man [2001],Great
Cossacks: European Wars,Good
Tech Deck Skateboarding,Bad
High Heat Major League Baseball 2002,Great
Dance Dance Revolution [2001],Amazing
Kohan: Immortal Sovereigns,Great
UNiSON,Great
Serious Sam: The First Encounter,Amazing
NBA Hoopz,Painful
KISS Pinball [2001],Awful
Heroes of Might and Magic: Quest for the DragonBone Staff,Good
Silpheed: The Lost Planet,Great
Metal Slug X,Amazing
Evil Dead: Hail to the King,Awful
Dr. Mario 64,Mediocre
Aidyn Chronicles: The First Mage,Bad
Waterloo: Napoleon's Last Battle,Good
Ultima Online: Third Dawn,Good
LEGO Island 2: The Brickster's Revenge,Mediocre
Majesty: The Northern Expansion,Good
SpongeBob SquarePants: Legend of the Lost Spatula,Okay
Fate of the Dragon,Great
The Sims: House Party,Good
Star Trek: Away Team,Okay
Adventure Pinball: Forgotten Island,Okay
High Heat Major League Baseball 2002,Good
MDK2 Armageddon,Great
Quake III: Revolution,Great
X-COM: Enforcer,Great
"The $100,000 Pyramid",Great
Inspector Gadget: Operation Madkatus,Great
Kirby Tilt 'n' Tumble,Amazing
Mickey's Speedway USA,Amazing
Mary-Kate and Ashley: Winner's Circle,Good
Starsiege: Tribes 2,Great
Tom Clancy's Rainbow Six: Rogue Spear,Bad
Tony Hawk's Pro Skater 2,Amazing
F-Zero: Maximum Velocity,Amazing
Pitfall: The Mayan Adventure,Mediocre
Konami Krazy Racers,Great
Pinobee: Wings of Adventure,Okay
Mary-Kate and Ashley's Magical Mystery Mall,Bad
Gangsters 2,Mediocre
Worms World Party,Great
Half-Life: Blue Shift,Good
Pearl Harbor: Defend the Fleet,Mediocre
Power Spike: Pro Beach Volleyball,Good
MTV Music Generator 2,Great
Blast Lacrosse,Okay
Spider-Man 2: The Sinister Six,Amazing
X-Men: Wolverine's Rage,Good
World's Scariest Police Chases,Okay
Atlantis: The Lost Empire -- Trial by Fire,Mediocre
Resident Evil 3: Nemesis,Good
B-17 Gunner: Air War Over Germany,Mediocre
Fur Fighters: Viggo's Revenge,Bad
CART Fury,Mediocre
18-Wheeler American Pro Trucker,Good
Cool Boarders 2001,Good
Mario Party 3,Okay
Tokyo Xtreme Racer: Zero,Great
Startopia,Amazing
Rules of the Game,Bad
Microsoft Train Simulator,Great
Who Wants To Be A Millionaire? 3rd Edition,Good
Escape From Monkey Island,Great
Atari Anniversary Edition,Great
Pearl Harbor: Zero Hour,Mediocre
Commander Keen,Okay
Time Crisis: Project Titan,Great
NBA Street,Amazing
Worms World Party,Great
Twisted Metal: Black,Amazing
Air Command 3.0,Good
Z: Steel Soldiers,Good
Namco Museum,Great
Alone in the Dark: The New Nightmare,Bad
Bomberman Tournament,Great
Mat Hoffman's Pro BMX,Great
Tomb Raider: Curse of the Sword,Amazing
Hot Potato,Great
Star Trek: Deep Space Nine: Dominion Wars,Mediocre
Diablo II: Lord of Destruction,Great
World Destruction League: War Jetz,Mediocre
Emperor: Battle for Dune,Great
Rayman Advance,Amazing
Earthworm Jim,Good
Leadfoot: Stadium Off Road Racing,Good
Iridion 3D,Mediocre
Army Men Advance,Good
Fire Pro Wrestling,Good
Ready 2 Rumble Boxing: Round 2,Awful
MX 2002 Featuring Ricky Carmichael,Great
Zeus -- Official Expansion: Poseidon,Great
Star Trek: Starfleet Command: Orion Pirates,Good
911 Fire Rescue,Mediocre
Baldur's Gate II: Throne of Bhaal,Amazing
Stupid Invaders,Good
NASCAR Heat 2002,Great
Echelon,Good
Castlevania: Circle of the Moon,Amazing
Chu Chu Rocket,Great
Super Mario Advance,Great
GT Advance Championship Racing,Great
Super Dodge Ball Advance,Okay
Hostile Waters: Antaeus Rising,Great
Motor Mayhem,Okay
Bloody Roar 3,Good
Dave Mirra Freestyle BMX: Maximum Remix,Mediocre
Sonic Adventure 2,Amazing
Off-Road Redneck Racing,Good
Tweety and the Magic Gems,Bad
Rune: Viking Warlord,Mediocre
Extermination,Okay
Max Payne,Amazing
Cultures,Good
NCAA Football 2002,Amazing
Desperados: Wanted Dead or Alive,Great
MechCommander 2,Great
767 Pilot In Command,Great
Soldier of Fortune,Great
Klonoa 2: Lunatea's Veil,Amazing
Dragon Warrior III,Masterpiece
City Crisis,Bad
Final Fantasy Chronicles,Amazing
Anachronox,Great
Rugby,Good
Atlantis: The Lost Empire,Good
Dark Angel: Vampire Apocalypse,Mediocre
Empire of the Ants,Okay
Pac-Man Collection,Amazing
The Mummy Returns,Awful
Sports Jam,Good
Ephemeral Fantasia,Bad
Alone in the Dark: The New Nightmare,Great
Legends of Might and Magic,Mediocre
Green Berets,Okay
Operation Flashpoint: Cold War Crisis,Great
ESPN Final Round Golf 2002,Okay
NCAA College Football 2K2: Road to the Rose Bowl,Good
Atari Anniversary Edition,Good
Sudden Strike: Forever,Good
Mario Kart Super Circuit,Amazing
Stretch Panic,Good
Lightweight Ninja,Okay
SEGA Bass Fishing 2,Great
Saiyuki: Journey West,Great
Madden NFL 2002,Good
Resident Evil -- CODE: Veronica X,Okay
Armored Core 2: Another Age,Good
Independence War 2: The Edge of Chaos,Great
Arcanum: Of Steamworks and Magick Obscura,Great
Le Mans 24 Hours,Great
Test Drive Off-Road -- Wide Open,Okay
Shogun: Total War -- The Mongol Invasion,Great
Gadget Racers,Okay
Political Tycoon,Mediocre
XG3 Extreme-G Racing,Great
Death Crimson OX,Bad
Combat Command 2: Desert Rats,Okay
Anarchy Online,Good
Madden NFL 2002,Amazing
Star Monkey,Good
Fortress,Okay
The Settlers (Fourth Edition),Good
Conquest: Frontier Wars,Great
Razor Freestyle Scooter,Okay
Majestic,Good
World Series Baseball 2K2,Great
Divided Ground: The Middle East Conflict  1948-1973,Okay
ESPN X Games Skateboarding,Bad
TRL Trivia,Mediocre
The Corporate Machine,Great
Hot Wired,Mediocre
Gran Turismo 3 A-spec,Amazing
WWII Online,Mediocre
Eurofighter Typhoon,Great
Alien Front Online,Great
Last Blade 2: Heart of the Samurai,Great
Reel Fishing Wild,Okay
The Sting!,Good
Mobile Suit Gundam: Journey to Jaburo,Okay
Outtrigger,Great
Floigan Brothers,Great
Pokemon Crystal Version,Amazing
Jurassic Park III: The DNA Factor,Mediocre
Silent Hill 2,Amazing
Open Kart,Okay
Zero Gunner 2,Great
NFL Blitz 20-02,Painful
NHL 2002,Amazing
Snood,Okay
Sports Illustrated for Kids: Baseball,Awful
Final Fight One,Great
Lady Sia,Great
Throne of Darkness,Good
Portal Runner,Mediocre
Spider-Man [2001],Okay
NFL 2K2,Amazing
WWF Betrayal,Okay
Wendy: Every Witch Way,Great
Tales of Destiny II,Great
Ooga Booga,Amazing
Phantasy Star Online Version 2,Great
Time Crisis II,Great
Guilty Gear X,Great
Kessen II,Great
X-Men: Mutant Academy 2,Great
Dragon Riders -- Chronicles of Pern,Awful
Monopoly Tycoon,Great
SpyHunter,Great
Red Faction,Great
Mat Hoffman's Pro BMX,Great
NHL 2002,Amazing
Silent Scope 2: Dark Silhouette,Okay
Shattered Galaxy,Great
Far Gate,Great
LEGO Racers 2,Good
Casper: Spirit Dimensions,Okay
Zax: The Alien Hunter,Good
Jurassic Park III: Park Builder,Good
High Heat Major League Baseball 2002,Bad
Spider-Man: Mysterio's Menace,Great
Monster Rancher 3,Good
Klonoa: Empire of Dreams,Amazing
Tang Tang,Mediocre
Advance Wars,Amazing
Remote Assault,Mediocre
NFL QB Club 2002,Mediocre
Gallop Racer 2001,Good
Dragon Riders -- Chronicles of Pern,Awful
Dave Mirra Freestyle BMX 2,Great
Men In Black: The Series,Painful
ESPN X Games Skateboarding,Mediocre
ICO,Amazing
NHL Hitz 20-02,Good
Batman Vengeance,Great
Trouballs,Good
Zoo Tycoon [2001],Okay
Kinetica,Great
Devil May Cry,Amazing
Project Eden,Amazing
NASCAR Thunder 2002,Great
Rails Across America,Good
OKAGE: Shadow King,Good
Paris-Dakar Rally,Painful
The Mummy Returns,Bad
Yanya Caballista: City Skater,Bad
Victorious Boxers: Ippo's Road to Glory,Great
Splashdown,Great
Bionicle: Tales of the Tohunga,Bad
Cel Damage,Okay
NBA Live 2002,Good
Super Street Fighter II Turbo Revival,Great
Magic & Mayhem 2: The Art of Magic,Good
MX Rider,Okay
Smuggler's Run 2: Hostile Territory,Great
Tetris Worlds,Mediocre
Heavy Metal: Geomatrix,Good
Sports Illustrated for Kids: Football,Mediocre
Command & Conquer: Yuri's Revenge -- Red Alert 2 Expansion,Great
F1 2001,Good
Formula One 2001,Good
Commandos 2: Men of Courage,Amazing
Aliens vs. Predator 2,Great
Capcom vs. SNK 2: Mark of the Millennium 2001,Great
SSX Tricky,Amazing
Mystery of the Druids,Bad
4x4 Evo 2,Great
Mat Hoffman's Pro BMX,Good
Burnout,Great
Dark Age of Camelot,Amazing
Sunny Garcia Surfing,Good
Top Gun: Combat Zones,Mediocre
Tony Hawk's Pro Skater 3,Amazing
Sid Meier's Civilization III,Amazing
Tennis 2K2,Amazing
Spider-Man 2: Enter Electro,Mediocre
Alone in the Dark: The New Nightmare,Good
BASS Strike,Okay
Arctic Thunder,Awful
The Typing of the Dead,Great
LEGO Racers 2,Okay
X-Men: Reign of Apocalypse,Good
Project Eden,Good
NBA 2K2,Amazing
FIFA Soccer 2002,Great
Soul Reaver 2: Legacy of Kain,Amazing
BackTrack,Bad
Doom (1993),Great
Dragon Warrior Monsters 2: Tara's Adventure,Amazing
Crash Bandicoot: The Wrath of Cortex,Good
Pool of Radiance: Ruins of Myth Drannor,Okay
Looney Tunes: Sheep Raider,Great
Stronghold,Great
WWF With Authority!,Okay
Supercar Street Challenge,Mediocre
Real War,Bad
Castlevania Chronicles,Good
Gadget Racers,Good
MechWarrior 4: Black Knight,Great
Dragon Warrior Monsters 2: Cobi's Journey,Amazing
F-14 Tomcat,Okay
Power Rangers Time Force,Okay
Ace Combat 4: Shattered Skies,Amazing
Toki Tori,Amazing
Boxing Fever,Great
Grand Theft Auto III,Amazing
The Weakest Link,Awful
Thunderstrike: Operation Phoenix,Good
Planet of the Apes,Bad
Dead or Alive 3,Amazing
Dave Mirra Freestyle BMX 2,Okay
4x4 Evo 2,Good
F1 2001,Good
Driven,Painful
James Bond 007: Agent Under Fire,Good
Shaun Palmer's Pro Snowboarder,Awful
NFL Fever 2002,Good
Tony Hawk's Pro Skater 2,Great
Golden Sun,Amazing
Oddworld: Munch's Oddysee,Good
Tony Hawk's Pro Skater 3,Amazing
Harry Potter and the Sorcerer's Stone,Great
Tom Clancy's Ghost Recon,Amazing
Mega Man Battle Network,Great
Project Gotham Racing,Great
Halo: Combat Evolved,Amazing
Dexter's Laboratory: Deesaster Strikes,Okay
Fuzion Frenzy,Great
Madden NFL 2002,Great
Myth III: The Wolf Age,Great
NASCAR Thunder 2002,Great
Test Drive Off-Road -- Wide Open,Good
Microsoft Flight Simulator 2002,Amazing
"Monsters, Inc. Scream Team",Good
Super Monkey Ball,Great
Luigi's Mansion,Good
Star Wars Rogue Squadron II: Rogue Leader,Amazing
Asheron's Call: Dark Majesty,Great
Tony Hawk's Pro Skater 3,Amazing
Spyro the Dragon: Season of Ice,Great
Motor City Online,Good
Madden NFL 2002,Great
Metal Gear Solid 2: Sons of Liberty,Amazing
Harry Potter and the Sorcerer's Stone,Okay
Half-Life,Amazing
Stunt GP,Mediocre
Soldier of Fortune (Gold Edition),Bad
NHL Hitz 20-02,Great
Silent Hunter II,Good
Jumpgate: The Reconstruction Initiative,Good
Dark Summit,Good
18-Wheeler: American Pro Trucker,Mediocre
Tom Clancy's Rainbow Six: Rogue Spear: Black Thorn,Good
Ultimate Ride,Good
Supercar Street Challenge,Bad
Tony Hawk's Pro Skater 2x,Good
AirForce Delta Storm,Okay
Vampire Night,Good
Ms. Pac-Man: Quest for the Golden Maze,Awful
Midnight Club: Street Racing,Bad
Harry Potter and the Sorcerer's Stone,Good
NBA Live 2002,Good
Harvest Moon: Save the Homeland,Great
Dave Mirra Freestyle BMX 2,Great
Harry Potter and the Sorcerer's Stone,Okay
Mad Dash Racing,Good
Tarzan Untamed,Okay
NFL 2K2,Amazing
Bomberman Online,Amazing
Europa Universalis II,Amazing
FIFA Soccer 2002,Okay
World War III: Black Gold,Okay
Wario Land 4,Amazing
Star Wars Galactic Battlegrounds,Great
ESPN NFL Prime Time 2002,Mediocre
WWF SmackDown! Just Bring It,Good
Batman Vengeance,Great
Tokimeki Check In!,Painful
Road to India: Between Hell and Nirvana,Mediocre
Shrek,Mediocre
AquaNox,Good
Batman Vengeance,Okay
Scooby-Doo and the Cyber Chase,Awful
Wave Race: Blue Storm,Amazing
Etherlords,Great
Larry Ragland's 4x4 Challenge,Mediocre
Jak and Daxter: The Precursor Legacy,Amazing
Super Bust-A-Move,Great
Kohan: Ahriman's Gift,Great
Conflict Zone: Modern War Strategy,Okay
Star Trek: Armada II,Good
Baldur's Gate: Dark Alliance,Amazing
Hot Wheels: Extreme Racing,Mediocre
NFL GameDay 2002,Okay
Arctic Thunder,Okay
Pikmin,Amazing
Super Smash Bros. Melee,Amazing
Trade Empires,Great
Schizm: Mysterious Journey,Awful
Ecks vs. Sever,Amazing
Diva Starz: Mall Mania,Painful
ESPN Great Outdoor Games: Bass 2002,Bad
Return to Castle Wolfenstein,Amazing
Gradius Galaxies,Good
Dokapon: Monster Hunter,Good
IL-2 Sturmovik,Great
NCAA Final Four 2002,Okay
Madden NFL 2002,Good
Jackie Chan Adventures: Legend of the Dark Hand,Good
Frogger: The Great Quest,Awful
Takeda,Okay
Empire Earth,Great
SSX Tricky,Good
The Powerpuff Girls: Chemical X-Traction,Painful
Twisted Metal: Small Brawl,Bad
Dynasty Warriors 3,Great
FIFA Soccer 2002,Great
XG3 Extreme-G Racing,Great
Dark Summit,Good
The Simpsons Road Rage,Mediocre
Deadly Dozen,Okay
Dragon Warrior VII,Great
Wave Rally,Good
Syphon Filter 3,Good
Comanche 4,Great
Tarzan Untamed,Okay
Jeremy McGrath Supercross World,Bad
Frequency,Amazing
Amped: Freestyle Snowboarding,Great
Battle Realms,Great
TransWorld Surf,Great
Crazy Taxi,Okay
All-Star Baseball 2002,Okay
NHL Hitz 20-02,Good
The Simpsons Road Rage,Okay
Fatal Fury: Mark of The Wolves,Amazing
Max Payne,Great
NHL 2002,Amazing
Soccer America International Cup,Okay
F1 2001,Great
Beyond Atlantis II: The New World,Great
Patrician II: Quest for Power,Good
Max Payne,Great
Dragon Rage,Okay
SSX Tricky,Amazing
Wizardry: Tale of the Forsaken Land,Good
Shadow Hearts,Mediocre
The Legend of Alon D'ar,Bad
Harvest Moon GBC 3,Good
Driven,Okay
NBA 2K2,Great
The Simpsons Road Rage,Mediocre
Tsugunai: Atonement,Great
Azurik: Rise of Perathia,Okay
Soul Reaver 2: Legacy of Kain,Great
Mat Hoffman's Pro BMX,Great
No Rules: Get Phat,Awful
American Bass Challenge,Great
S.W.I.N.E.,Okay
Monster Rancher Advance,Okay
Drakan: The Ancients' Gates,Great
Salt Lake 2002,Painful
Kao the Kangaroo,Mediocre
Genma Onimusha,Great
Tekken Advance,Great
Star Trek: Voyager: Elite Force,Okay
EverQuest: Shadows of Luclin,Great
Frank Herbert's Dune,Great
Combat,Mediocre
Planet of the Apes,Okay
Final Fantasy X,Amazing
Casino Tycoon,Okay
Nightcaster,Good
Cel Damage,Okay
NFL QB Club 2002,Mediocre
NCAA March Madness 2002,Mediocre
MX 2002 Featuring Ricky Carmichael,Mediocre
Mortal Kombat Advance,Painful
Backyard Basketball 2004,Okay
Universal Studios Theme Park Adventure,Awful
Dave Mirra Freestyle BMX 2,Great
Namco Museum,Good
The Sims: Hot Date,Great
MX 2002 Featuring Ricky Carmichael,Good
NASCAR Heat 2002,Good
Star Wars Starfighter: Special Edition,Good
Dark Arena,Great
AirBlade,Good
SimGolf,Great
Disciples II: Dark Prophecy,Great
Demon World: Dark Armies,Awful
Baseball Mogul 2002,Great
Car Tycoon,Bad
WWF Road to Wrestlemania,Awful
Planet of the Apes,Okay
Ballistics,Good
Dig Dug Deeper,Okay
Wizardry VIII,Good
Survivor: The Interactive Game,Painful
Rampage: Puzzle Attack,Great
Shaun Palmer's Pro Snowboarder,Bad
Darkened Skye,Good
High Heat Major League Baseball 2003,Great
Maximo: Ghosts to Glory,Amazing
Dark Summit,Okay
NFL 2K2,Great
Tetris Worlds,Mediocre
Clusterball,Okay
Rez,Great
Headhunter,Amazing
Conflict Zone: Modern War Strategy,Mediocre
Battlecruiser Millennium,Good
Silent Hill 2: Restless Dreams,Great
The Powerpuff Girls: Mojo Jojo A-Go-Go!,Okay
NBA Inside Drive 2002,Great
Star Wars: Jedi Power Battles,Bad
NBA Courtside 2002,Good
Mobile Suit Gundam: Zeonic Front,Okay
Black & White: Creature Isle,Good
Cruis'n Velocity,Okay
Midway's Greatest Arcade Hits,Awful
Frogger's Adventure: Temple of the Frog,Great
Lineage: The Blood Pledge,Good
Legends of Wrestling,Bad
Tennis Masters Series,Okay
Batman Vengeance,Great
Prehistorik Man,Okay
NHL 2K2,Amazing
Mall Tycoon,Bad
Super Mario Advance 2: Super Mario World,Amazing
ESPN International Winter Sports 2002,Mediocre
NFL Blitz 20-02,Great
ESPN International Winter Sports 2002,Mediocre
Sonic Adventure 2: Battle,Okay
Fighting Legends,Okay
Blood Wake,Great
Mega Man X6,Great
Star Wars: Obi-Wan,Mediocre
Jade Cocoon 2,Good
Giants: Citizen Kabuto,Great
Parappa The Rapper 2,Good
Original War,Bad
Hoshigami: Ruining Blue Earth,Bad
Medal of Honor: Allied Assault,Amazing
Trevor Chan's Capitalism II,Amazing
Harvest Moon GBC 3,Good
WWF Raw [2002],Amazing
Hot Wheels: Burnin' Rubber,Great
Jonny Moseley Mad Trix,Awful
ESPN NFL Prime Time 2002,Bad
GoDai Elemental Force,Painful
Donald Duck Advance,Okay
Wreckless: The Yakuza Missions,Amazing
World Tour Soccer 2002,Great
Salt Lake 2002,Painful
Circus Maximus: Chariot Wars,Awful
ESPN NBA 2Night 2002,Mediocre
Hot Shots Golf 3,Great
NBA Jam 2002,Painful
Fighter Ace III,Great
NASCAR Racing 2002 Season,Great
Grandia II,Good
Serious Sam: The Second Encounter,Amazing
Salt Lake 2002,Mediocre
Forever Kingdom,Good
Sonic Advance,Amazing
Star Wars Starfighter,Good
NBA 2K2,Great
Doubutsu no Mori,Great
NBA Street,Great
Pirates: The Legend of Black Kat,Good
Columns Crown,Good
Gitaroo-Man,Great
Star Wars Racer Revenge,Great
Jet Set Radio Future,Amazing
Pac-Man World 2,Good
Moto Racer 3,Okay
Eve of Extinction,Awful
Tony Hawk's Pro Skater 3,Amazing
Tony Hawk's Pro Skater 3,Amazing
18-Wheeler American Pro Trucker,Mediocre
Zone of the Enders: The Fist of Mars,Okay
NHL 2002,Good
Peter Pan in Disney's Return to Never Land,Mediocre
Home Run King,Okay
Star Trek: Bridge Commander,Amazing
UFC: Tapout,Great
Puyo Pop,Amazing
ESPN Winter X Games Snowboarding 2002,Good
Breath of Fire,Good
New Legends,Mediocre
Tiger Woods PGA Tour 2002,Great
MotoGP 2,Good
Fatal Frame,Good
Destroyer Command,Mediocre
Knockout Kings 2002,Great
Jeremy McGrath Supercross World,Awful
American Hunting Volume 1: Varmint Hunter,Unbearable
Peter Pan in Disney's Return to Never Land,Mediocre
Command & Conquer Renegade,Good
Ecco the Dolphin: Defender of the Future,Good
SEGA Soccer Slam,Great
GunValkyrie,Amazing
James Bond 007: Agent Under Fire,Good
Mad Maestro,Okay
Bloody Roar: Primal Fury,Good
Mister Mosquito,Good
Hunting Unlimited,Good
State of Emergency,Great
